negative_regulation_of_transcription_by_RNA_polymerase_II,Neg. reg. trans. RNA Pol II
positive_regulation_of_ERK1_and_ERK2_cascade,Pos. reg. ERK1/ERK2 cascade
positive_regulation_of_animal_organ_morphogenesis,Pos. reg. organ morphogenesis
transcription_initiation_from_RNA_polymerase_II_promoter,Trans. init. RNA Pol II
regulation_of_morphogenesis_of_a_branching_structure,Reg. branching morphogenesis
branching_involved_in_mammary_gland_duct_morphogenesis,Mammary gland duct branching
regulation_of_transcription_by_RNA_polymerase_II,Reg. trans. RNA Pol II
negative_regulation_of_transcription,_DNA-templated,Neg. reg. trans. DNA-templated
regulation_of_cellular_macromolecule_biosynthetic_process,Reg. macromolecule biosynthesis
negative_regulation_of_cellular_biosynthetic_process,Neg. reg. biosynthetic process
regulation_of_anatomical_structure_morphogenesis,Reg. anatomical morphogenesis
transforming_growth_factor_beta_receptor_signaling_pathway,TGF-β receptor signaling
enzyme_linked_receptor_protein_signaling_pathway,Enzyme-linked receptor signaling
